Dataset ,Classifier,Cost Function,M ,Train/Test, Hamming-Loss, Accuracy, Execution Time
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Test,0.06168270416975075,0.6269430051813472,13.22700
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Train,0.0038363171355498722,0.9769820971867008,1.01900
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Test,0.22524752475247523,0.22277227722772275,1.01900
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Train,0.0,1.0,0.54100
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,3,Test,0.03818369453044373,0.7956656346749226,0.54100
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Train,0.005444444444444448,0.9693333333333334,8.96600
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Test,0.2824427480916033,0.27699018538713194,8.96600
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Train,0.0012386457473162675,0.9925681255161024,6.58900
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Test,0.1008918617614272,0.5234113712374582,6.58900
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Train,4.2900042900042895E-4,0.996996996996997,5.95000
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Test,0.02746400885935766,0.8093023255813954,5.95000
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Train,0.0,1.0,4.05800
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Test,0.0,1.0,4.05800
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Train,0.005537098560354374,0.9612403100775194,0.25400
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Test,0.27032967032967037,0.19999999999999996,0.25400
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Train,0.005724462536572958,0.9608192341941229,34.21100
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Test,0.06513693560325685,0.6027633851468048,34.21100
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Train,0.005541346973572037,0.9667519181585678,2.47900
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Test,0.22937293729372943,0.25742574257425743,2.47900
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Train,0.002587991718426501,0.984472049689441,1.26400
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,4,Test,0.0376676986584107,0.7956656346749226,1.26400
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Train,0.004666666666666669,0.9733333333333334,18.29400
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Test,0.2869865503453292,0.2540894220283533,18.29400
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Train,0.0013762730525736307,0.9917423616845582,9.90200
scene-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Test,0.10521181716833926,0.4916387959866221,9.90200
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Train,0.0,1.0,7.01600
medical-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Test,0.029900332225913574,0.7906976744186046,7.01600
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Train,0.0,1.0,6.86300
genbase-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Test,0.0,1.0,6.86300
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Train,0.006644518272425248,0.9612403100775194,0.96500
flags-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Test,0.2967032967032968,0.15384615384615385,0.96500
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Train,0.005724462536572958,0.9617097061442564,46.24900
enron-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Test,0.06143597335307176,0.614853195164076,46.24900
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Train,0.004688832054560955,0.9718670076726342,2.19900
emotions-train.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Test,0.2178217821782178,0.28712871287128716,2.19900
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Train,0.0,1.0,1.08000
birds-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,5,Test,0.0397316821465428,0.7894736842105263,1.08000
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Train,0.0036666666666666675,0.978,17.75400
yeast-train_fixed.arff,class weka.classifiers.trees.RandomForest,Hamming Distance,6,Test,0.28189749182115614,0.23446019629225734,17.75400
